windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,labels
70.0,1.0,0.0,0.0,6.0,6.0,0.9110646787306328,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.510000000000002,22.550000000000004,1.2900000000000005,0.0,0.0,0.0,83.977972,80.517873,86400.0,86400.0,86400.0,1.759556,0.0,70.678676,86400.0,86400.0,86400.0,3
854.0,1.0,5.0,6.0,5.0,7.0,0.7219280948873623,0.3208430913348946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.200000000000006,0.0,7.15,0.0,0.0,0.0,9247.155111,9240.622034,86400.0,2388.299788,86400.0,0.0,2389.952016,452.934955,86400.0,4175.605081,86400.0,0
62.0,3.0,6.0,5.0,6.0,6.0,0.0472792804649148,0.4032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,33.25000000000001,0.0,0.0,0.0,0.0,3640.15557,129.026249,86400.0,125.349452,86400.0,28.453488,0.0,126.861344,86400.0,135.20766,86400.0,1
68.0,1.0,9.0,5.0,6.0,6.0,0.783776947484701,0.3382352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.050000000000002,26.300000000000004,0.0,0.0,0.0,0.0,2152.05995,1783.280698,86400.0,73.756241,86400.0,3.503209,0.0,114.02879,86400.0,123.575261,86400.0,1
61.0,1.0,6.0,6.0,5.0,6.0,1.746465798504072,0.3114754098360656,1.0,0.0,0.0,0.0,0.0,2.29,0.0,8.67,16.96,6.430000000000001,0.0,0.0,0.0,1196.141899,1193.454044,86400.0,41.441635,86400.0,0.0,0.709649,6.38018,86400.0,41209.338169,86400.0,3
306.0,3.0,5.0,5.0,5.0,7.0,0.8366407419411673,0.934640522875817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.69,0.0,9.660000000000002,0.0,0.0,0.0,10174.076858,10167.543781,86400.0,3315.221535,86400.0,0.0,3316.873763,140.594036,86400.0,5102.526828,86400.0,0
35.0,1.0,5.0,5.0,6.0,6.0,1.768730050503787,0.5142857142857142,2.0,0.0,0.0,0.0,0.0,2.3400000000000003,0.0,10.630000000000004,13.98,7.400000000000001,0.0,0.0,0.0,2535.701373,2531.61575,86400.0,17.427676,86400.0,2.41521,0.0,21.729668,86400.0,2777.49946,86400.0,1
53.0,2.0,1.0,6.0,6.0,6.0,0.5665095065529053,0.3962264150943396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,29.55,0.0,0.0,0.0,0.0,295.821926,70.016091,86400.0,61.951281,86400.0,32.505082,0.0,64.880373,86400.0,86400.0,86400.0,3
108.0,8.0,6.0,5.0,5.0,0.0,1.809406821998948,0.6759259259259259,1.0,0.0,11.910000000000002,2.3200000000000003,0.0,0.0,0.0,11.420000000000002,0.0,8.700000000000001,0.0,0.0,0.0,7.49708,34.799932,86400.0,131.691351,86400.0,0.0,131.411316,38.026788,86400.0,477.367502,86400.0,2
54.0,1.0,6.0,6.0,6.0,6.0,0.3533593350214213,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3000000000000003,32.050000000000004,0.0,0.0,0.0,0.0,1645.707308,1642.532616,86400.0,1100.691062,86400.0,14.974641,0.0,408.9406,86400.0,417.280246,86400.0,1
446.0,38.0,6.0,5.0,5.0,7.0,0.9182958340544896,0.6300448430493274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65,0.0,22.700000000000003,0.0,0.0,0.0,4507.680073,2371.783551,86400.0,478.816597,86400.0,0.0,480.737033,47.515487,86400.0,1403.507796,86400.0,0
452.0,4.0,9.0,7.0,5.0,7.0,1.3730174851339658,0.6924778761061947,0.0,0.0,0.0,0.0,0.0,5.0200000000000005,0.0,9.79,0.0,19.54,0.0,0.0,0.0,1677.101522,610.326422,86400.0,353.268051,86400.0,0.0,596.291136,25.142007,86400.0,465.703458,86400.0,0
1073.0,1.0,5.0,6.0,5.0,7.0,0.0472792804649148,0.478098788443616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.06,0.0,1.2900000000000005,0.0,0.0,0.0,9867.294655,9860.761578,86400.0,3008.439332,86400.0,0.0,3010.09156,1073.074499,86400.0,4795.744625,86400.0,0
110.0,1.0,3.0,1.0,6.0,6.0,0.3533593350214213,0.4181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4400000000000004,31.91,0.0,0.0,0.0,0.0,493.33009,375.517493,86400.0,191.613182,86400.0,69.604153,0.0,195.893539,86400.0,38210.704921,86400.0,3
