windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,labels
75.0,2.0,6.0,6.0,6.0,6.0,0.3533593350214213,0.6533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5100000000000007,31.84,0.0,0.0,0.0,0.0,837.694783,835.006928,86400.0,310.891328,86400.0,60.180612,0.0,313.589343,86400.0,40850.891053,86400.0,3
68.0,1.0,6.0,6.0,6.0,6.0,0.6500224216483541,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,28.56000000000001,0.0,0.0,0.0,0.0,1918.914731,1915.740039,86400.0,1373.898485,86400.0,1.169547,0.0,682.148023,86400.0,690.487669,86400.0,1
92.0,1.0,6.0,6.0,6.0,6.0,0.0472792804649148,0.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2800000000000002,33.07,0.0,0.0,0.0,0.0,1538.665811,1535.491119,86400.0,993.649565,86400.0,88.641398,0.0,301.899103,86400.0,310.238749,86400.0,1
66.0,3.0,0.0,0.0,0.0,0.0,0.5665095065529053,0.4090909090909091,0.0,0.0,29.90000000000001,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,170.044146,86400.0,915.279093,86400.0,21.550952,917.653713,177.376915,86400.0,5838.004121,86400.0,2
108.0,3.0,6.0,6.0,7.0,7.0,1.7055872616982604,0.1666666666666666,3.0,0.0,0.0,0.0,0.0,2.28,0.0,4.630000000000001,14.690000000000005,12.75,0.0,0.0,0.0,521.366526,518.678671,86400.0,87.170745,86400.0,3.405735,90.443507,0.0,86400.0,40534.562796,86400.0,3
65.0,0.0,6.0,6.0,5.0,6.0,0.5665095065529053,0.4461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.390000000000001,29.96,0.0,0.0,0.0,0.0,5393.784421,5387.251344,86400.0,285.091124,86400.0,0.0,0.407013,316.902673,86400.0,322.234391,86400.0,4
44.0,7.0,6.0,1.0,5.0,6.0,0.7219280948873623,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,27.910000000000004,0.0,0.0,0.0,0.0,289.504126,238.290712,86400.0,189.890044,86400.0,0.0,7.603763,195.280891,86400.0,517.919292,86400.0,1
110.0,2.0,3.0,1.0,6.0,6.0,0.3533593350214213,0.4181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4600000000000004,31.89,0.0,0.0,0.0,0.0,495.756008,377.943411,86400.0,194.0391,86400.0,72.030071,0.0,198.319457,86400.0,38213.130839,86400.0,3
87.0,2.0,6.0,5.0,5.0,6.0,0.5665095065529053,0.6896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,29.860000000000007,0.0,0.0,0.0,0.0,2325.884532,2323.196677,86400.0,239.809765,86400.0,0.0,2.410016,241.860855,86400.0,42339.080802,86400.0,3
55.0,0.0,6.0,6.0,6.0,6.0,0.7219280948873623,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,27.320000000000004,0.0,0.0,0.0,0.0,471.207048,245.401213,86400.0,237.336403,86400.0,0.15468,0.0,240.265495,86400.0,86400.0,86400.0,3
130.0,5.0,5.0,6.0,6.0,6.0,0.3533593350214213,0.5846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1900000000000004,32.160000000000004,0.0,0.0,0.0,0.0,2243.060967,2240.373112,86400.0,156.9862,86400.0,9.765848,0.0,159.03729,86400.0,42256.257237,86400.0,3
103.0,1.0,6.0,7.0,0.0,0.0,1.3417208300154329,0.8252427184466019,5.0,0.0,2.03,2.06,0.0,1.2900000000000005,0.0,5.57,0.0,23.40000000000001,0.0,0.0,0.0,0.0,0.550829,86400.0,102.88713,86400.0,0.584238,130.117227,2.846948,86400.0,2255.536018,86400.0,2
64.0,2.0,5.0,6.0,6.0,6.0,1.524723196190908,0.296875,1.0,0.0,0.0,0.0,0.0,2.390000000000001,0.0,3.640000000000001,19.55,8.770000000000001,0.0,0.0,0.0,6686.050044,6679.421874,86400.0,47.983037,86400.0,45.941775,0.0,50.072172,86400.0,6120.524221,86400.0,1
49.0,1.0,6.0,6.0,6.0,6.0,0.3533593350214213,0.5918367346938775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,32.13,0.0,0.0,0.0,0.0,6610.585108,2333.285007,86400.0,697.951911,86400.0,8.165739,0.0,701.235077,86400.0,6240.24752,86400.0,4
32.0,1.0,5.0,5.0,6.0,6.0,0.5665095065529053,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,29.820000000000007,0.0,0.0,0.0,0.0,2566.115985,2562.030362,86400.0,47.842288,86400.0,2.831669,0.0,52.14428,86400.0,2807.914072,86400.0,1
486.0,11.0,9.0,7.0,5.0,7.0,0.9182958340544896,0.6522633744855967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04,0.0,23.31,0.0,0.0,0.0,1810.790105,744.015005,86400.0,486.956634,86400.0,0.0,729.979719,10.598001,86400.0,599.392041,86400.0,0
