windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,labels
80.0,1.0,6.0,9.0,6.0,6.0,0.8812908992306927,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,23.72,0.0,0.0,0.0,0.0,326.213222,735.563185,156.779461,86400.0,86400.0,33.595062,0.0,139.818332,86400.0,163.379728,127.314216,1
647.0,34.0,7.0,7.0,5.0,7.0,1.2866926683547546,0.6615146831530139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.14,0.0,15.77,0.0,0.0,2.4400000000000004,3765.104837,27839.704119,1406.950656,86400.0,86400.0,0.0,1474.06057,59.563016,86400.0,1403.343488,587.574107,0
31.0,0.0,7.0,7.0,7.0,7.0,1.640223928941852,0.1290322580645161,5.0,0.0,0.0,0.0,2.22,0.0,0.0,9.18,0.0,18.1,0.0,4.8500000000000005,0.0,1674.993177,25749.592459,21.900731,86400.0,86400.0,0.030665,1430.541615,0.0,86400.0,27.052872,1422.03624,0
50.0,3.0,0.0,5.0,7.0,7.0,1.2419460322060458,0.7,2.0,0.0,0.0,0.0,4.220000000000001,0.0,0.0,6.840000000000001,0.0,23.290000000000003,0.0,0.0,0.0,63.769177,46117.931747,3.957667,86400.0,86400.0,5.075248,11191.250563,0.0,86400.0,10628.610491,11177.343839,0
235.0,3.0,5.0,0.0,0.0,0.0,1.746465798504072,0.4595744680851064,3.0,0.0,15.01,0.0,2.4300000000000006,0.0,0.0,7.170000000000001,0.0,9.740000000000002,0.0,0.0,0.0,0.0,5326.779494,136.011929,86400.0,86400.0,37.543563,5444.032786,128.255067,86400.0,9748.255108,5426.869875,2
107.0,2.0,6.0,6.0,6.0,6.0,0.5665095065529053,0.4579439252336448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.830000000000001,29.52,0.0,0.0,0.0,0.0,662.53805,2737.767361,503.027816,86400.0,86400.0,57.740075,0.0,486.786458,86400.0,10628.581811,468.067075,1
51.0,0.0,6.0,6.0,5.0,6.0,0.9709505944546686,0.4901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,20.750000000000004,0.0,0.0,0.0,0.0,809.755848,780.176948,626.626185,86400.0,86400.0,0.0,1.682567,614.002146,86400.0,646.202269,586.783703,1
1483.0,0.0,0.0,7.0,7.0,7.0,1.2555367253996506,0.401888064733648,3.0,0.0,0.0,0.0,2.5100000000000007,0.0,0.0,19.160000000000004,0.0,12.68,0.0,0.0,0.0,1502.091412,34346.449502,1472.97897,86400.0,86400.0,0.781761,1913.116272,0.0,86400.0,15505.578945,1900.687969,0
3116.0,52.0,7.0,0.0,5.0,-1.0,0.0,0.4387034659820282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.35,0.0,0.0,0.0,0.0,0.0,3741.023947,8945.70487,3723.420153,86400.0,86400.0,0.0,4547.773851,3711.021154,86400.0,14372.854375,4523.508238,0
75.0,3.0,9.0,0.0,5.0,6.0,0.7219280948873623,0.5066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,27.910000000000004,0.0,0.0,0.0,0.0,320.19957,683.392266,154.792646,86400.0,86400.0,0.0,3.344987,137.352889,86400.0,172.188887,119.204115,1
