windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,labels
785.0,0.0,5.0,6.0,5.0,7.0,0.6500224216483541,0.3949044585987261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.26,0.0,6.090000000000001,0.0,0.0,0.0,9267.65122,9261.118143,86400.0,2408.795897,86400.0,0.0,2410.448125,473.431064,86400.0,4196.10119,86400.0,0
527.0,1.0,6.0,6.0,5.0,7.0,1.0,0.0227703984819734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.96,0.0,17.39,0.0,0.0,0.0,2774.730085,2644.942791,86400.0,574.737125,86400.0,0.0,595.187724,1.089007,86400.0,859.165054,86400.0,0
101.0,0.0,6.0,6.0,6.0,6.0,0.6500224216483541,0.594059405940594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,28.24,0.0,0.0,0.0,0.0,1145.885877,1143.198022,86400.0,619.082422,86400.0,39.170724,0.0,621.780437,86400.0,41159.082147,86400.0,1
65.0,0.0,0.0,0.0,0.0,0.0,0.8812908992306927,0.6615384615384615,0.0,0.0,24.17,0.0,0.0,0.0,0.0,10.18,0.0,0.0,0.0,0.0,0.0,0.0,342.344387,86400.0,1087.579334,86400.0,0.064505,1089.953954,349.677156,86400.0,6010.304362,86400.0,2
222.0,1.0,5.0,1.0,5.0,6.0,1.5523892173146852,0.8828828828828829,3.0,0.0,0.0,0.0,0.0,9.75,0.0,10.37,14.230000000000002,0.0,0.0,0.0,0.0,1395.787915,598.435914,86400.0,25.961742,86400.0,0.0,3.159727,519.356512,86400.0,37182.433068,86400.0,1
64.0,4.0,5.0,6.0,6.0,6.0,0.5665095065529053,0.390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,29.700000000000003,0.0,0.0,0.0,0.0,791.110338,786.16378,86400.0,74.661572,86400.0,20.798369,0.0,77.96983,86400.0,115.129752,86400.0,1
51.0,0.0,6.0,6.0,6.0,6.0,0.9456641189448428,0.3725490196078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.510000000000002,21.56000000000001,1.2800000000000002,0.0,0.0,0.0,1240.556698,1237.868843,86400.0,85.856434,86400.0,0.055296,0.0,50.794979,86400.0,41253.752968,86400.0,1
207.0,3.0,7.0,6.0,7.0,7.0,0.6500224216483541,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9700000000000015,0.0,28.380000000000003,0.0,0.0,0.0,3694.695274,3693.333502,86400.0,402.858182,86400.0,29.842622,405.232802,0.0,86400.0,5325.58321,86400.0,0
26.0,0.0,6.0,6.0,6.0,6.0,0.3533593350214213,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,32.27,0.0,0.0,0.0,0.0,3171.376563,3168.688708,86400.0,347.192812,86400.0,1.654182,0.0,1087.352886,86400.0,43184.572833,86400.0,1
131.0,0.0,7.0,5.0,7.0,7.0,1.258040253688799,0.2061068702290076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5100000000000007,22.56,8.28,0.0,0.0,0.0,6735.693317,6732.029117,86400.0,985.093049,86400.0,81.676,99.065207,0.0,86400.0,1118.102192,86400.0,0
